"Residence Hall","Address"
"Alderman","101 Raleigh Street"
"Alexander","207 Raleigh Street"
"Avery","295 Ridge Road"
"Carmichael","101 Stadium Drive"
"Cobb","110 Country Club Road"
"Connor","281 Raleigh Street"
"Craige","555 Paul Hardin Drive"
"Craige North","515 Paul Hardin Drive"
"Ehringhaus","450 Ehringhaus Drive"
"Everett","201 Raleigh Street"
"Graham","102 Country Club Road"
"Grimes","101 Emerson Drive"
"Hardin","495 Paul Hardin Drive"
"Hinton James","515 Hinton James Drive"
"Horton","411 Skipper Bowles Drive"
"Joyner","205 Raleigh Street"
"Kenan","112 Battle Lane"
"Koury","480 Ehringhaus Drive"
"Lewis","203 Raleigh Street"
"Mangum","204 Raleigh Street"
"Manly","200 Raleigh Street"
"McClinton","100 Country Club Road"
"McIver","103 Raleigh Street"
"Morrison","445 Paul Hardin Drive"
"Old East","203 East Cameron Avenue"
"Old West","193 East Cameron Avenue"
"Parker","109 Stadium Drive"
"Spencer","100 Raleigh Street"
"Stacy","104 Country Club Road"
"Teague","105 Stadium Drive"
"Thomas Ruffin, Jr.","103 Emerson Drive"
"Winston","301 South Road"
"Ram Village 1","560 Paul Hardin Drive, Apt. 1###"
"Ram Village 2","550 Paul Hardin Drive, Apt. 2###"
"Ram Village 3","540 Paul Hardin Drive, Apt. 3###"
"Taylor","510 Williamson Drive, Apt. 4###"
"Ram Village 5","520 Williamson Drive, Apt. 5###"